,clusters-labels,full-names,gender,global-frequency,distribution_rank,concentration_rank
Stedman ,[1],"['Stedman Street,']",male,1,1,1
Stock ,[2],"['Stock Street,']",male,1,1,1
Stockton ,[2],"['Stockton Street,']",male,1,1,1
Stockwell ,[1],"['Stockwell Street,']",male,1,1,1
Stone Terrace,[2],"['Stone Terrace,']",male,1,1,1
Stonecrest ,[0],"['Stonecrest Road,']",male,1,1,1
Stonehill ,[0],"['Stonehill Road,']",male,1,1,1
Stoneholm ,[1],"['Stoneholm Street,']",male,1,1,1
Stonley ,[1],"['Stonley Road,']",male,1,1,1
Stoughton ,[2],"['Stoughton Street,']",male,1,1,1
Stoughton  ,[2],"['Stoughton Street Place,']",male,1,1,1
Stratford ,[0],"['Stratford Street,']",male,1,1,1
Strathcona ,[1],"['Strathcona Road,']",male,1,1,1
Strathmore ,[4],"['Strathmore Road,']",male,1,1,1
Stratton ,[2],"['Stratton Street,']",male,1,1,1
Strong ,[3],"['Strong Place,']",male,1,1,1
Stuart ,[3],"['Stuart Street,']",male,1,1,1
Sturbridge ,[0],"['Sturbridge Street,']",male,1,1,1
Sturges ,[0],"['Sturges Road,']",male,1,1,1
Sturtevant ,[2],"['Sturtevant Street,']",male,1,1,1
Sudan ,[2],"['Sudan Street,']",male,1,1,1
Summit Circle,[0],"['Summit Circle,']",male,1,1,1
Sumner Terrace,[2],"['Sumner Terrace,']",male,1,1,1
Sunapee Lane,[0],"['Sunapee Lane,']",male,1,1,1
Suncrest ,[0],"['Suncrest Road,']",male,1,1,1
Sunderland ,[1],"['Sunderland Street,']",male,1,1,1
Sunnybank ,[0],"['Sunnybank Road,']",male,1,1,1
Surreyhill Lane,[1],"['Surreyhill Lane,']",male,1,1,1
Sutton ,[0],"['Sutton Street,']",male,1,1,1
Swan Court,[2],"['Swan Court,']",male,1,1,1
Swift ,[3],"['Swift Street,']",male,1,1,1
Swift Terrace,[3],"['Swift Terrace,']",male,1,1,1
Sylvester ,[2],"['Sylvester Road,']",male,1,1,1
Symmes ,[0],"['Symmes Street,']",male,1,1,1
Taber ,[1],"['Taber Street,']",male,1,1,1
Tacoma ,[0],"['Tacoma Street,']",male,1,1,1
Taft ,[2],"['Taft Street,']",male,1,1,1
Tafthill Terrace,[0],"['Tafthill Terrace,']",male,1,1,1
Tai Tung ,[3],"['Tai Tung Street,']",male,1,1,1
Tamworth ,[3],"['Tamworth Street,']",male,1,1,1
Tanglewood ,[2],"['Tanglewood Road,']",male,1,1,1
Tappan ,[0],"['Tappan Street,']",male,1,1,1
Tarleton ,[0],"['Tarleton Road,']",male,1,1,1
Tearsen ,[0],"['Tearsen Street,']",male,1,1,1
Teddy Corcilius Way,[0],"['Teddy Corcilius Way,']",male,1,1,1
Telford ,[4],"['Telford Street,']",male,1,1,1
Templeton Way,[2],['Templeton Way'],male,1,1,1
Tennis ,[0],"['Tennis Road,']",male,1,1,1
Tennyson ,[0],"['Tennyson Street,']",male,1,1,1
Terry Way,[0],['Terry Way'],male,1,1,1
Thacher ,[3],"['Thacher Street,']",male,1,1,1
Thacher Court,[3],"['Thacher Court,']",male,1,1,1
Thane ,[2],"['Thane Street,']",male,1,1,1
Thatcher ,[0],"['Thatcher Street,']",male,1,1,1
Thatcher Terrace,[2],"['Thatcher Terrace,']",male,1,1,1
Thayer ,[1],"['Thayer Street,']",male,1,1,1
Theodore ,[2],"['Theodore Street,']",male,1,1,1
Theodore A. Glynn Way,[1],['Theodore A. Glynn Way'],male,1,1,1
Theodore Parker ,[0],"['Theodore Parker Road,']",male,1,1,1
Third ,[3],"['Third Avenue,']",male,1,1,1
Third  Court,[3],"['Third Street Court,']",male,1,1,1
Third New Way,[0],['Third New Way'],male,1,1,1
Thomas ,[1],"['Thomas Street,']",male,1,1,1
Thomson ,[3],"['Thomson Place,']",male,1,1,1
Thor Terrace,[4],"['Thor Terrace,']",male,1,1,1
Thornley ,[2],"['Thornley Street,']",male,1,1,1
Thornton Terrace,[1],"['Thornton Terrace,']",male,1,1,1
Thrush ,[0],"['Thrush Street,']",male,1,1,1
Thurlow ,[0],"['Thurlow Street,']",male,1,1,1
Thurston ,[3],"['Thurston Street,']",male,1,1,1
Ticknor ,[3],"['Ticknor Street,']",male,1,1,1
Tilman ,[2],"['Tilman Street,']",male,1,1,1
Tip Top ,[4],"['Tip Top Street,']",male,1,1,1
Tiverton ,[0],"['Tiverton Road,']",male,1,1,1
Tobin ,[0],"['Tobin Road,']",male,1,1,1
Toland Court,[1],"['Toland Court,']",male,1,1,1
Toll Gate Way,[0],['Toll Gate Way'],male,1,1,1
Tolman ,[2],"['Tolman Street,']",male,1,1,1
Topliff ,[2],"['Topliff Street,']",male,1,1,1
Toppan ,[0],"['Toppan Avenue,']",male,1,1,1
Torpie ,[1],"['Torpie Street,']",male,1,1,1
Torrey ,[2],"['Torrey Street,']",male,1,1,1
Tovar ,[2],"['Tovar Street,']",male,1,1,1
Train ,[2],"['Train Street,']",male,1,1,1
Transit ,[3],"['Transit Street,']",male,1,1,1
Trask ,[1],"['Trask Street,']",male,1,1,1
Traveler ,[1],"['Traveler Street,']",male,1,1,1
Travis ,[4],"['Travis Street,']",male,1,1,1
Treadway ,[2],"['Treadway Road,']",male,1,1,1
Trelawney ,[0],"['Trelawney Street,']",male,1,1,1
Trent ,[2],"['Trent Street,']",male,1,1,1
Trescott ,[2],"['Trescott Street,']",male,1,1,1
Trevore ,[0],"['Trevore Street,']",male,1,1,1
Trident ,[3],"['Trident Street,']",male,1,1,1
Trotter Court,[1],"['Trotter Court,']",male,1,1,1
Truman Parkway,[0],"['Truman Parkway,']",male,1,1,1
Tucker ,[2],"['Tucker Street,']",male,1,1,1
Tuckerman ,[3],"['Tuckerman Street,']",male,1,1,1
Tudor ,[3],"['Tudor Street,']",male,1,1,1
Turner ,[4],"['Turner Street,']",male,1,1,1
Turtle Pond Parkway,[0],"['Turtle Pond Parkway,']",male,1,1,1
Tyndale ,[0],"['Tyndale Street,']",male,1,1,1
Ufford ,[2],"['Ufford Street,']",male,1,1,1
Union Court,[3],"['Union Court,']",male,1,1,1
Union Wharf,[3],['Union Wharf'],male,1,1,1
Upcrest ,[4],"['Upcrest Road,']",male,1,1,1
Upham ,[2],"['Upham Avenue,']",male,1,1,1
Upland ,[2],"['Upland Avenue,']",male,1,1,1
Vale ,[1],"['Vale Street,']",male,1,1,1
Vale Court,[1],"['Vale Court,']",male,1,1,1
Valentine ,[1],"['Valentine Street,']",male,1,1,1
Van Brunt ,[0],"['Van Brunt Street,']",male,1,1,1
Van Ness ,[1],"['Van Ness Street,']",male,1,1,1
Van Winkle ,[2],"['Van Winkle Street,']",male,1,1,1
Vancouver ,[1],"['Vancouver Street,']",male,1,1,1
Vanderbilt ,[0],"['Vanderbilt Avenue,']",male,1,1,1
Varick ,[0],"['Varick Road,']",male,1,1,1
Varney ,[1],"['Varney Street,']",male,1,1,1
Vassar ,[1],"['Vassar Street,']",male,1,1,1
Vaughan ,[1],"['Vaughan Avenue,']",male,1,1,1
Ventura ,[2],"['Ventura Street,']",male,1,1,1
Verdun ,[2],"['Verdun Street,']",male,1,1,1
Vermont ,[0],"['Vermont Street,']",male,1,1,1
Verndale ,[0],"['Verndale Street,']",male,1,1,1
Verrill ,[0],"['Verrill Street,']",male,1,1,1
Victor ,[2],"['Victor Street,']",male,1,1,1
Viking ,[3],"['Viking Street,']",male,1,1,1
Viking Terrace,[0],"['Viking Terrace,']",male,1,1,1
Village Court,[1],"['Village Court,']",male,1,1,1
Vincent ,[0],"['Vincent Road,']",male,1,1,1
Vineland ,[4],"['Vineland Street,']",male,1,1,1
Vining ,[1],"['Vining Street,']",male,1,1,1
Vinson ,[2],"['Vinson Street,']",male,1,1,1
Vinton ,[3],"['Vinton Street,']",male,1,1,1
Virgil ,[0],"['Virgil Road,']",male,1,1,1
Vogel ,[0],"['Vogel Street,']",male,1,1,1
Von Hillern ,[2],"['Von Hillern Street,']",male,1,1,1
Vose ,[0],"['Vose Avenue,']",male,1,1,1
Wabeno ,[1],"['Wabeno Street,']",male,1,1,1
Wabon ,[1],"['Wabon Street,']",male,1,1,1
Wade ,[4],"['Wade Street,']",male,1,1,1
Wadsworth ,[4],"['Wadsworth Street,']",male,1,1,1
Wainwright ,[2],"['Wainwright Street,']",male,1,1,1
Wait ,[1],"['Wait Street,']",male,1,1,1
Wakefield ,[0],"['Wakefield Avenue,']",male,1,1,1
Wakullah ,[1],"['Wakullah Street,']",male,1,1,1
Walbridge ,[4],"['Walbridge Street,']",male,1,1,1
Waldeck ,[2],"['Waldeck Street,']",male,1,1,1
Waldemar ,[3],"['Waldemar Avenue,']",male,1,1,1
Walden ,[1],"['Walden Street,']",male,1,1,1
Waldo ,[3],"['Waldo Street,']",male,1,1,1
Waldo Terrace,[4],"['Waldo Terrace,']",male,1,1,1
Waldorf ,[2],"['Waldorf Street,']",male,1,1,1
Wales ,[2],"['Wales Street,']",male,1,1,1
Walford Way,[3],['Walford Way'],male,1,1,1
Walker ,[3],"['Walker Street,']",male,1,1,1
Wallace Court,[3],"['Wallace Court,']",male,1,1,1
Walley ,[3],"['Walley Street,']",male,1,1,1
Walton ,[2],"['Walton Street,']",male,1,1,1
Walworth ,[0],"['Walworth Street,']",male,1,1,1
Ward Court,[3],"['Ward Court,']",male,1,1,1
Ware ,[2],"['Ware Street,']",male,1,1,1
Warner ,[2],"['Warner Street,']",male,1,1,1
Warwick ,[1],"['Warwick Street,']",male,1,1,1
Washburn ,[2],"['Washburn Street,']",male,1,1,1
Washington  ,[0],"['Washington Street Place,']",male,1,1,1
Waterloo ,[0],"['Waterloo Street,']",male,1,1,1
Waterman ,[0],"['Waterman Road,']",male,1,1,1
Way ,[0],"['Way Street,']",male,1,1,1
Wayburn ,[1],"['Wayburn Road,']",male,1,1,1
Wayland ,[2],"['Wayland Street,']",male,1,1,1
Waymount ,[1],"['Waymount Street,']",male,1,1,1
Wayne ,[1],"['Wayne Street,']",male,1,1,1
Weaver Court,[1],"['Weaver Court,']",male,1,1,1
Weaver Way,[1],['Weaver Way'],male,1,1,1
Webb Park,[3],['Webb Park'],male,1,1,1
Webber ,[1],"['Webber Street,']",male,1,1,1
Webley ,[4],"['Webley Street,']",male,1,1,1
Wedgewood ,[0],"['Wedgewood Road,']",male,1,1,1
Weld Hill ,[1],"['Weld Hill Street,']",male,1,1,1
Weldon ,[1],"['Weldon Street,']",male,1,1,1
Well ,[3],"['Well Street,']",male,1,1,1
Welland ,[0],"['Welland Road,']",male,1,1,1
Welles ,[2],"['Welles Avenue,']",male,1,1,1
Wellington Hill ,[0],"['Wellington Hill Street,']",male,1,1,1
Wellington Hill Footway,[0],"['Wellington Hill Footway,']",male,1,1,1
Welton ,[0],"['Welton Road,']",male,1,1,1
Wendeller ,[3],"['Wendeller Street,']",male,1,1,1
Wensley ,[1],"['Wensley Street,']",male,1,1,1
Wentworth ,[2],"['Wentworth Street,']",male,1,1,1
Wentworth Terrace,[2],"['Wentworth Terrace,']",male,1,1,1
Wesleyan ,[3],"['Wesleyan Place,']",male,1,1,1
Wessex ,[2],"['Wessex Street,']",male,1,1,1
West Bellflower ,[2],"['West Bellflower Street,']",male,1,1,1
West Broadway,[3],['West Broadway'],male,1,1,1
West Brookline ,[1],"['West Brookline Street,']",male,1,1,1
West Canton ,[1],"['West Canton Street,']",male,1,1,1
West Concord ,[1],"['West Concord Street,']",male,1,1,1
West Cottage ,[2],"['West Cottage Street,']",male,1,1,1
West Dedham ,[1],"['West Dedham Street,']",male,1,1,1
West Eagle ,[3],"['West Eagle Street,']",male,1,1,1
West Eighth ,[3],"['West Eighth Street,']",male,1,1,1
West Fifth ,[3],"['West Fifth Street,']",male,1,1,1
West First ,[3],"['West First Street,']",male,1,1,1
West Fourth ,"[3, 1]","['West Fourth Street,', 'West Fourth Street,']",male,1,2,1
West Haven ,[1],"['West Haven Street,']",male,1,1,1
West Hill ,[3],"['West Hill Place,']",male,1,1,1
West Howell ,[2],"['West Howell Street,']",male,1,1,1
West Main ,[2],"['West Main Street,']",male,1,1,1
West Newton ,[1],"['West Newton Street,']",male,1,1,1
West Ninth ,[3],"['West Ninth Street,']",male,1,1,1
West Park ,[2],"['West Park Street,']",male,1,1,1
West Rutland ,[1],"['West Rutland Square,']",male,1,1,1
West School ,[3],"['West School Street,']",male,1,1,1
West Second ,[3],"['West Second Street,']",male,1,1,1
West Selden ,[0],"['West Selden Street,']",male,1,1,1
West Service ,[3],"['West Service Road,']",male,1,1,1
West Seventh ,[3],"['West Seventh Street,']",male,1,1,1
West Sixth ,[3],"['West Sixth Street,']",male,1,1,1
West Sorrento ,[4],"['West Sorrento Street,']",male,1,1,1
West Springfield ,[1],"['West Springfield Street,']",male,1,1,1
West Third ,[3],"['West Third Street,']",male,1,1,1
West Tremlett ,[2],"['West Tremlett Street,']",male,1,1,1
West Walnut Park,[1],['West Walnut Park'],male,1,1,1
Westbourne ,[0],"['Westbourne Street,']",male,1,1,1
Westbrook ,[3],"['Westbrook Street,']",male,1,1,1
Westchester ,[1],"['Westchester Road,']",male,1,1,1
Westcott ,[2],"['Westcott Street,']",male,1,1,1
Westcott  South,[2],"['Westcott Street South,']",male,1,1,1
Westcott Terrace,[2],"['Westcott Terrace,']",male,1,1,1
Westgate ,[0],"['Westgate Road,']",male,1,1,1
Westland ,[1],"['Westland Avenue,']",male,1,1,1
Westland Entrance,[1],['Westland Entrance'],male,1,1,1
Westmoor ,[0],"['Westmoor Road,']",male,1,1,1
Westmore ,[0],"['Westmore Road,']",male,1,1,1
Westmoreland ,[2],"['Westmoreland Street,']",male,1,1,1
Westmount ,[0],"['Westmount Avenue,']",male,1,1,1
Weston ,[0],"['Weston Street,']",male,1,1,1
Westover ,[0],"['Westover Street,']",male,1,1,1
Westview ,[2],"['Westview Street,']",male,1,1,1
Westwind ,[2],"['Westwind Road,']",male,1,1,1
Weymouth ,[0],"['Weymouth Avenue,']",male,1,1,1
Wharton Court,[0],"['Wharton Court,']",male,1,1,1
Wheatland ,[2],"['Wheatland Avenue,']",male,1,1,1
Wheelock ,[2],"['Wheelock Avenue,']",male,1,1,1
Whitby ,[3],"['Whitby Street,']",male,1,1,1
Whitby Terrace,[2],"['Whitby Terrace,']",male,1,1,1
Whitcomb ,[1],"['Whitcomb Avenue,']",male,1,1,1
White ,[3],"['White Street,']",male,1,1,1
White  ,[3],"['White Street Place,']",male,1,1,1
White Oak ,[0],"['White Oak Road,']",male,1,1,1
Whitfield ,[2],"['Whitfield Street,']",male,1,1,1
Whitford ,[0],"['Whitford Street,']",male,1,1,1
Whitman ,[2],"['Whitman Street,']",male,1,1,1
Whitridge ,[2],"['Whitridge Street,']",male,1,1,1
Whitten ,[2],"['Whitten Street,']",male,1,1,1
Wiggin ,[3],"['Wiggin Street,']",male,1,1,1
Wigglesworth ,[1],"['Wigglesworth Street,']",male,1,1,1
Wilbert Circle,[2],"['Wilbert Circle,']",male,1,1,1
Wilbur ,[2],"['Wilbur Street,']",male,1,1,1
Wilbur Court,[3],"['Wilbur Court,']",male,1,1,1
Wilcock ,[2],"['Wilcock Street,']",male,1,1,1
Wilcox ,[2],"['Wilcox Road,']",male,1,1,1
Wilcutt ,[1],"['Wilcutt Road,']",male,1,1,1
Wilder ,[1],"['Wilder Street,']",male,1,1,1
Wildwood ,"[2, 0]","['Wildwood Street,', 'Wildwood Street,']",male,1,2,1
Wilkes Passage,[1],"['Wilkes Passage,']",male,1,1,1
Wilkins ,[0],"['Wilkins Place,']",male,1,1,1
Willers ,[0],"['Willers Street,']",male,1,1,1
Willet ,[0],"['Willet Street,']",male,1,1,1
William C. Kelly ,[3],"['William C. Kelly Square,']",male,1,1,1
William Cardinal O'Connell Way,[3],"[""William Cardinal O'Connell Way""]",male,1,1,1
William E. Mullins Way,[1],['William E. Mullins Way'],male,1,1,1
William F. McClellan ,[3],"['William F. McClellan Highway,']",male,1,1,1
William J. Day ,[2],"['William J. Day Boulevard,']",male,1,1,1
William Jackson ,[4],"['William Jackson Avenue,']",male,1,1,1
Willis ,[2],"['Willis Street,']",male,1,1,1
Willowwood ,[2],"['Willowwood Street,']",male,1,1,1
Wilmington ,[2],"['Wilmington Avenue,']",male,1,1,1
Wilmore ,[0],"['Wilmore Street,']",male,1,1,1
Wilmot ,[0],"['Wilmot Street,']",male,1,1,1
Wilton Terrace,[4],"['Wilton Terrace,']",male,1,1,1
Wiltshire ,[4],"['Wiltshire Road,']",male,1,1,1
Winchester ,[3],"['Winchester Street,']",male,1,1,1
Windham ,[0],"['Windham Road,']",male,1,1,1
Windom ,[4],"['Windom Street,']",male,1,1,1
Windsor ,[1],"['Windsor Street,']",male,1,1,1
Winfield ,[3],"['Winfield Street,']",male,1,1,1
Wingate ,[0],"['Wingate Road,']",male,1,1,1
Winston ,[2],"['Winston Road,']",male,1,1,1
Winthrop Lane,[3],"['Winthrop Lane,']",male,1,1,1
Winton ,[0],"['Winton Street,']",male,1,1,1
Wirt ,[4],"['Wirt Street,']",male,1,1,1
Wise ,[1],"['Wise Street,']",male,1,1,1
Wolcott Court,[0],"['Wolcott Court,']",male,1,1,1
Wolfe ,[0],"['Wolfe Street,']",male,1,1,1
Wollaston Terrace,[2],"['Wollaston Terrace,']",male,1,1,1
Woodard ,[0],"['Woodard Road,']",male,1,1,1
Woodbine ,[1],"['Woodbine Street,']",male,1,1,1
Woodbole ,[0],"['Woodbole Avenue,']",male,1,1,1
Woodbourne ,[1],"['Woodbourne Road,']",male,1,1,1
Woodbrier ,[0],"['Woodbrier Road,']",male,1,1,1
Woodcliff ,[2],"['Woodcliff Street,']",male,1,1,1
Wooddale ,[0],"['Wooddale Avenue,']",male,1,1,1
Woodfield ,[2],"['Woodfield Street,']",male,1,1,1
Woodford ,[2],"['Woodford Street,']",male,1,1,1
Woodgate ,[0],"['Woodgate Street,']",male,1,1,1
Woodglen ,[0],"['Woodglen Road,']",male,1,1,1
Woodhaven ,[0],"['Woodhaven Street,']",male,1,1,1
Woodlawn ,[1],"['Woodlawn Street,']",male,1,1,1
Woodledge ,[2],"['Woodledge Street,']",male,1,1,1
Woodley ,[0],"['Woodley Avenue,']",male,1,1,1
Woodman ,[1],"['Woodman Street,']",male,1,1,1
Woodmere ,[0],"['Woodmere Street,']",male,1,1,1
Woodmont ,[4],"['Woodmont Street,']",male,1,1,1
Woodrow ,[2],"['Woodrow Avenue,']",male,1,1,1
Woodruff Way,[0],['Woodruff Way'],male,1,1,1
Woods ,[3],"['Woods Place,']",male,1,1,1
Woodville ,[1],"['Woodville Street,']",male,1,1,1
Woodworth ,[2],"['Woodworth Street,']",male,1,1,1
Woolsey ,[1],"['Woolsey Square,']",male,1,1,1
Woolson ,[0],"['Woolson Street,']",male,1,1,1
Wordsworth ,[3],"['Wordsworth Street,']",male,1,1,1
Worley ,[0],"['Worley Street,']",male,1,1,1
Wormwood ,[3],"['Wormwood Street,']",male,1,1,1
Worrell ,[2],"['Worrell Street,']",male,1,1,1
Worthington ,[1],"['Worthington Street,']",male,1,1,1
Wright ,[0],"['Wright Street,']",male,1,1,1
Wright's Court,[3],"[""Wright's Court,""]",male,1,1,1
Wycliff ,[0],"['Wycliff Avenue,']",male,1,1,1
Wyola ,[1],"['Wyola Place,']",male,1,1,1
Wyvern ,[0],"['Wyvern Street,']",male,1,1,1
Yale Terrace,[1],"['Yale Terrace,']",male,1,1,1
York ,[1],"['York Street,']",male,1,1,1
Young's ,[0],"[""Young's Road,""]",male,1,1,1
Zeller ,[0],"['Zeller Street,']",male,1,1,1
Albemarle ,"[1, 0]","['Albemarle Street,', 'Albemarle Street,']",male,2,2,1
Avon ,"[3, 1]","['Avon Place,', 'Avon Street,']",male,2,2,1
Badger ,"[3, 0]","['Badger Place,', 'Badger Road,']",male,2,2,1
Barnes ,"[3, 0]","['Barnes Avenue,', 'Barnes Street,']",male,2,2,1
Barry ,"[0, 2]","['Barry Street,', 'Barry Street,']",male,2,2,1
Beach ,"[3, 2]","['Beach Street,', 'Beach Street,']",male,2,2,1
Bismarck ,"[0, 1]","['Bismarck Street,', 'Bismarck Street,']",male,2,2,1
Bradford ,"[0, 1]","['Bradford Road,', 'Bradford Street,']",male,2,2,1
Bradlee ,"[2, 0]","['Bradlee Street,', 'Bradlee Street,']",male,2,2,1
Brooks ,"[3, 4]","['Brooks Street,', 'Brooks Street,']",male,2,2,1
Burke ,[1],"['Burke Street,']",male,2,1,1
Burton ,"[1, 4]","['Burton Avenue,', 'Burton Street,']",male,2,2,1
Calvin ,"[3, 1]","['Calvin Place,', 'Calvin Road,']",male,2,2,1
Cary ,"[3, 1]","['Cary Place,', 'Cary Street,']",male,2,2,1
Castle Court,"[1, 3]","['Castle Court,', 'Castle Court,']",male,2,2,1
Champney ,"[3, 4]","['Champney Place,', 'Champney Street,']",male,2,2,1
Chester ,"[0, 4]","['Chester Place,', 'Chester Street,']",male,2,2,1
Clifford ,"[0, 1]","['Clifford Street,', 'Clifford Street,']",male,2,2,1
Copley ,"[3, 1]","['Copley Square,', 'Copley Street,']",male,2,2,1
Dale ,"[0, 1]","['Dale Street,', 'Dale Street,']",male,2,2,1
Dewey ,[2],"['Dewey Street,']",male,2,1,1
Draper ,"[0, 2]","['Draper Road,', 'Draper Street,']",male,2,2,1
Dyer ,"[3, 2]","['Dyer Avenue,', 'Dyer Street,']",male,2,2,1
Eagle ,"[3, 0]","['Eagle Square,', 'Eagle Street,']",male,2,2,1
East ,"[2, 3]","['East Street,', 'East Street,']",male,2,2,1
Easton ,"[0, 4]","['Easton Avenue,', 'Easton Street,']",male,2,2,1
Edson ,"[2, 0]","['Edson Street,', 'Edson Street,']",male,2,2,1
Eldon ,"[1, 0]","['Eldon Street,', 'Eldon Street,']",male,2,2,1
Ellis ,"[0, 1]","['Ellis Street,', 'Ellis Street,']",male,2,2,1
Euclid ,"[2, 0]","['Euclid Street,', 'Euclid Street,']",male,2,2,1
Eustis ,[1],"['Eustis Street,']",male,2,1,1
Evans ,[2],"['Evans Street,']",male,2,1,1
Fairmount ,"[0, 2]","['Fairmount Avenue,', 'Fairmount Street,']",male,2,2,1
Fisher ,"[1, 0]","['Fisher Avenue,', 'Fisher Road,']",male,2,2,1
Flint ,"[3, 0]","['Flint Place,', 'Flint Street,']",male,2,2,1
Foster ,"[4, 3]","['Foster Street,', 'Foster Street,']",male,2,2,1
Fountain ,"[3, 1]","['Fountain Place,', 'Fountain Street,']",male,2,2,1
Frazer ,"[2, 0]","['Frazer Street,', 'Frazer Street,']",male,2,2,1
Fuller ,[2],"['Fuller Street,']",male,2,1,1
George ,"[1, 0]","['George Street,', 'George Street,']",male,2,2,1
Glen ,"[1, 2]","['Glen Road,', 'Glen Street,']",male,2,2,1
Gould ,"[4, 0]","['Gould Street,', 'Gould Street,']",male,2,2,1
Green ,"[1, 3]","['Green Street,', 'Green Street,']",male,2,2,1
Greenwich ,"[2, 1]","['Greenwich Street,', 'Greenwich Street,']",male,2,2,1
Half Moon ,"[3, 2]","['Half Moon Place,', 'Half Moon Street,']",male,2,2,1
Hall ,"[3, 1]","['Hall Place,', 'Hall Street,']",male,2,2,1
Harlem ,"[3, 1]","['Harlem Place,', 'Harlem Street,']",male,2,2,1
Harris ,"[1, 3]","['Harris Avenue,', 'Harris Street,']",male,2,2,1
Heath ,[1],"['Heath Street,']",male,2,1,1
Henderson ,"[3, 2]","['Henderson Avenue,', 'Henderson Road,']",male,2,2,1
Holmes ,"[3, 4]","['Holmes Alley,', 'Holmes Street,']",male,2,2,1
Hunter ,"[0, 3]","['Hunter Street,', 'Hunter Street,']",male,2,2,1
Ipswich ,"[3, 1]","['Ipswich Place,', 'Ipswich Street,']",male,2,2,1
Irwin ,"[0, 1]","['Irwin Avenue,', 'Irwin Avenue,']",male,2,2,1
Kemble ,"[3, 1]","['Kemble Place,', 'Kemble Street,']",male,2,2,1
Langdon ,"[3, 1]","['Langdon Place,', 'Langdon Street,']",male,2,2,1
Larch ,"[0, 4]","['Larch Place,', 'Larch Street,']",male,2,2,1
Lawn ,"[3, 1]","['Lawn Avenue,', 'Lawn Street,']",male,2,2,1
Leland ,[1],"['Leland Street,']",male,2,1,1
Leonard ,"[3, 2]","['Leonard Place,', 'Leonard Street,']",male,2,2,1
Lindall ,"[3, 0]","['Lindall Place,', 'Lindall Street,']",male,2,2,1
Lombard ,"[3, 2]","['Lombard Place,', 'Lombard Street,']",male,2,2,1
Mason ,"[3, 0]","['Mason Street,', 'Mason Street,']",male,2,2,1
Mead ,"[4, 3]","['Mead Street,', 'Mead Street,']",male,2,2,1
Mercer ,"[3, 0]","['Mercer Street,', 'Mercer Street,']",male,2,2,1
Moore ,"[3, 1]","['Moore Street,', 'Moore Street,']",male,2,2,1
Oakwood ,"[0, 2]","['Oakwood Street,', 'Oakwood Street,']",male,2,2,1
Park Lane,"[1, 3]","['Park Lane', 'Park Lane,']",male,2,2,1
Partridge ,"[1, 0]","['Partridge Place,', 'Partridge Street,']",male,2,2,1
Peabody ,"[1, 2]","['Peabody Place,', 'Peabody Square,']",male,2,2,1
Percival ,"[3, 2]","['Percival Place,', 'Percival Street,']",male,2,2,1
Playstead ,"[2, 1]","['Playstead Road,', 'Playstead Road,']",male,2,2,1
Porter ,"[3, 1]","['Porter Street,', 'Porter Street,']",male,2,2,1
Prince ,"[1, 3]","['Prince Street,', 'Prince Street,']",male,2,2,1
Revere ,"[1, 3]","['Revere Street,', 'Revere Street,']",male,2,2,1
Ridge ,"[4, 0]","['Ridge Road,', 'Ridge Street,']",male,2,2,1
Riverdale ,"[0, 4]","['Riverdale Road,', 'Riverdale Street,']",male,2,2,1
Rock ,"[2, 0]","['Rock Avenue,', 'Rock Road,']",male,2,2,1
Rollins ,"[3, 1]","['Rollins Place,', 'Rollins Street,']",male,2,2,1
Ross ,"[3, 2]","['Ross Place,', 'Ross Road,']",male,2,2,1
Sargent ,"[1, 2]","['Sargent Square,', 'Sargent Street,']",male,2,2,1
Service ,"[1, 3]","['Service Place,', 'Service Road,']",male,2,2,1
Sullivan ,[3],"['Sullivan Street,']",male,2,1,1
Summit ,[0],"['Summit Street,']",male,2,1,1
Sunnyside ,"[1, 0]","['Sunnyside Street,', 'Sunnyside Street,']",male,2,2,1
Swan ,"[3, 0]","['Swan Avenue,', 'Swan Street,']",male,2,2,1
Thompson ,"[3, 0]","['Thompson Square,', 'Thompson Street,']",male,2,2,1
Thorn ,"[1, 0]","['Thorn Street,', 'Thorn Street,']",male,2,2,1
Thorndike ,[1],"['Thorndike Street,']",male,2,1,1
Tyler ,"[0, 3]","['Tyler Street,', 'Tyler Street,']",male,2,2,1
Upton ,"[0, 1]","['Upton Street,', 'Upton Street,']",male,2,2,1
Vernon ,"[0, 1]","['Vernon Street,', 'Vernon Street,']",male,2,2,1
Ward ,"[3, 1]","['Ward Street,', 'Ward Street,']",male,2,2,1
Water ,"[3, 2]","['Water Street,', 'Water Street,']",male,2,2,1
Wellington ,"[3, 1]","['Wellington Place,', 'Wellington Street,']",male,2,2,1
Westminster Terrace,"[4, 1]","['Westminster Terrace,', 'Westminster Terrace,']",male,2,2,1
Whittier ,"[3, 1]","['Whittier Place,', 'Whittier Street,']",male,2,2,1
Willoughby ,"[1, 4]","['Willoughby Place,', 'Willoughby Street,']",male,2,2,1
Wilson ,[2],"['Wilson Street,']",male,2,1,1
Wilton ,"[4, 0]","['Wilton Street,', 'Wilton Street,']",male,2,2,1
Woodland ,"[0, 1]","['Woodland Place,', 'Woodland Road,']",male,2,2,1
Albion ,"[3, 0, 1]","['Albion Place,', 'Albion Street,', 'Albion Street,']",male,3,3,1
Cleveland ,"[3, 1, 0]","['Cleveland Place,', 'Cleveland Street,', 'Cleveland Street,']",male,3,3,1
